labels,tokens,
NAG,The night shift! JNUTA stands with students on indefinite hunger strike. #StandWithJNU #SleepAtJNU #FightAtJNU http:// fb.me/4x0JnXUXW,
OAG,"Thse kinds have no tear for innocent lives lost2 terror,families sufferig. They even mock nationalists #ShutDownJNU pic.twitter.com/1UgRVB8YH9",
OAG,Shame on the VC. #StandWithJNU https:// twitter.com/Shehla_Rashid/ status/730779347628503040 …,
CAG,#JNU to teach Nehru's ideology to students (Ref. JNU constitution) Today they (students) want #India 's Barbaadi. Kuch samjhe? #ShutDownJNU,
CAG,sad! no one will score a century :'( #indvsuae,
NAG,miss you yuvraj singh and virendr sewag #indvspak,
NAG,waiting for new mauka mauka add #indvsuae,
NAG,.@ojasism so ja. heart attack ayega tujhe #indvspak,
CAG,@PMOIndia @RashtrapatiBhvn @BJPRajnatSingh @BJPRajnathSlngh #SHUTDOWNJNU . better shutdown jnu otherwise our NATION&CULTURE might be extinct. https:// twitter.com/YesIamSaffron/ status/789000120599805952 …,
CAG,#Modi via #JNU VC can't intimidate students! #StandWithJNU #FightBackJNU https:// twitter.com/UmarKhalidJNU/ status/729226236787052545 …,
CAG,@freeforfrndz @kriti87mishra ghamandi kon ha... uae ya ind #indvsuae,
CAG,"meanwhile, rain is singing mauka mauka! #pune #bangalore #indvsuae #petrichor #rains",
CAG,Correct.... @PrakashJavdekar should #ShutDownJNU immediately... Enough of Filth we have tolerated already @kanhaiyajnusu eg...,
NAG,Mumbai Rapper Protests Against The Government Crackdown On Students http:// lsh.re/1258I #JNU #StandWithJNU #Azaadi #Azadi #HaqHai,
NAG,rt @indy12if: jeetega bhai jeetega india jeetega :d crowd chanting yay #indvsuae,
CAG,Remove antinationals #ShutDownJNU,
NAG,dhoni ne 300 nai hone dene ... #indvspak,
NAG,mera internet slow ha . #gonawazgo #indvspak,
NAG,rt garbagebingags: dear pakistan 6-0 hahahhahaha....!!! :d #bleedblue #indvspak http://t.co/yb9mfez1ty,
NAG,#indvspak dil dil pakistan!! jan jan pakistan!! pakistan make us proud!!!! 💚,
CAG,"JNU Hunger Strike Day 12 : Game On - Students 1, Media, Authorities 0 https:// kafila.org/2016/05/09/jnu -hunger-strike-day-12-game-on-students-1-media-authorities-0/ … via @kafila #StandWithJNU",
CAG,"If glorifying a terrorist can be jusified under FoS, then you can say just any thing. #ShutDownJNU",
OAG,Anti-national JNU will never raise voice against something if that is not related to Hinduism. This clearly expose their agenda #ShutDownJNU https:// twitter.com/Aalok_Pradhan/ status/790096114217168896 …,
NAG,"rt @k_sundarpandi: waiting for new #maukamauka add,finish it quickly #india #indvsuae",
OAG,Send Umar Khalid to Afzal before its too late. Don't let him become another Afzal Guru in real! #ShutdownJNU #MadarsaJNU,
CAG,its like pikachu vs team rocket today .. #indvsuae,
NAG,@icc great bowing performance by #indianbowlers especially #ashwin #indvsuae #cwc15,
CAG,well said Dr. @RakeshSinha01 . we are with u #ShutDownJNU https:// twitter.com/RakeshSinha01/ status/697478911345631232 …,
CAG,#ShutDownJnu or give back my jard earn tax money #JNUneedsStrictAction,
NAG,indiaaaaa india :d :* wewon again :3 #kohli #dhawan #raina #captioncool &lt;3 #cwc15 #indvspak #wewontgiveitback http://t.co/eziixkkumf,
NAG,“@djnoreenkhan: this will be an absolute breeze for india #indvsuae”gud job u hav india team in bbc asian network,
NAG,"wicket! a raffaelo (0) is out, c ms dhoni b umesh yadav, 7/1 #indvsuae #cwc15",
NAG,@UmarKhalidJNU Get well soon brother. Massive respect for you and other comrades. #StandWithJNU #BJPKillsDemocracy,
CAG,kejri ne fund laya tha uae se fir v ind ne haraya strike #indvsuae,
NAG,"swapnil patil of uae team is from kasarvadavli thane, see this http://t.co/fk5zktr3kj #indvsuae",
CAG,#ShutDownJNU Govt should take immediate action against these traitors..,
OAG,India so tolerant dat is tolerating bleeding intolerants. Can u expect dis in any nation? Evn country like Bhutan would nevr b. #ShutDownJNU,
NAG,#indvspak watching on @ddnational waiting for @srbachchan saheb! aaiye. :-),
NAG,shahid afridi @safridiofficial – the talisman of pakistani cricket #indvspak #pakvsind http://t.co/t1mxnbdnvr,
NAG,shahid ho gaya shaeed....! go india xd #bleedblue #indvspak,
OAG,what actions are u taking to #shutdownjnu @smritiirani @narendramodi at least charge them with sediton.,
OAG,"@sethuactor what is the need of speed boat,,when i can piss and drown them :D #ShutDownJNU Salo ko Moot ke baha doonga... #MutraProtestJNU",
CAG,uae ka oneday mei lowest score 102 hai aur india ka 54 :) #amazing #indvsuae,
NAG,rt ggiittiikkaa: best picture of the day from #adelaide. #indvspak #जयहिन्द http://t.co/tfqkcptwzg,
OAG,#ShutDownJNU where is Raga and kejriwal now? Jnu has become a nursery of terrorism & anti national activities,
OAG,"Hope the nationalist JNU alumini return their degrees, and refuse to accept the same till this anti-nationals are jailed #ShutDownJNU",
OAG,JNU should be shutdown as its just a waste to have a shitty University like this one #ShutDownJNU https:// twitter.com/JantaKaReporte r/status/791081821400203264 …,
CAG,#RollBackAllSuspensions All AISA are innocent only ABVP are guilty. Why my tax money is wasted on these useless students. #ShutdownJNU,
NAG,sir jadeja is on firee #indvsuae #wontgiveitback #cwc15 #bleedblue,
NAG,Impassioned speech of Mukul Mangalik #StandWithJNU http:// raiot.in/asking-questio ns-chanting-slogans-walking-to-the-left-where-the-heart-resides/ …,
CAG,@NupurSharmaBJP I guess Arnab didnt want @ABVPVoice to take credit for exposing left wing #ShutDownJNU,
CAG,"AISF threatens students of JNU,dey threatnd VC of JNU & protests agnst HRD ministry AISF comunalised JNU & students drag govt. #ShutDownJNU",
NAG,bhuvi is a good bowler ^_^ #indvsuae,
NAG,tt india 12:24 1.#ausvnz 2.#nzvaus 3.#superbudget 4.#indvsuae 5.#sabkabudget 6.starc 7.service tax 8.williamson 9.gaar 10.iit in karnataka,
NAG,rt sirjadeja: thanks you misbah. #indvspak #pakvsind #indwins #cwc15 #जयहिन्द #cwc2015 http://t.co/urwdkxb2fi,
NAG,"i miss nayan mongia and his ""aaigaa"" #indvspak",
CAG,Crime and punishment: Why the entire JNU administration now faces a crisis of credibility http:// scroll.in/article/807677 /crime-and-punishment-why-the-entire-jnu-administration-now-faces-a-crisis-of-credibility … #StandWithJNU,
NAG,rt @biyanipratik: hilarious ! response video to india vs uae mauka mauka!: http://t.co/rbo5kkpkak #indvsuae #iccworldcup2015 #mauka,
NAG,celebration time in siliguri as india wins. #indvspak,
NAG,behind the scenes of umar akmal video: http://t.co/fuhlflg2d4 #indvspak @starsportsindia akmal bhai ki mimicri...,
CAG,@NupurSharmaBJP @TimesNow @thenewshour Many time when the anit national were speaking. #ShutDownJNU,
NAG,chandu532: ddnewslive: #uhf #indvspak: ravindra jadeja takes umar akmal's (0) wicket. pakistan 105/5 in 25 overs| #cwc15 #worldcup2015,
OAG,Stop breeding Intellectual terrorists in JNU....at the expense of tax payers money. @HRDMinistry @PMOIndia #ShutDownJNU,
NAG,@gulyousaf @madam_robena g yahi tu me keh rahi thi is me koie shak nhi k younas great player hy #indvspak,
NAG,rt @srkswarrior1: jeetna to tha hi khood bhagwaan ne kaha tha all the best ;) @iamsrk #indvspak,
CAG,@abhisar_sharma Though Godse is condemnable but today is d day of antinationals from JNU so stop diverting the attention them #ShutDownJNU,
CAG,hahahaha.... yes!! it is toi-let #indvsuae #cwc15 http://t.co/mcyt0mjb7a,
NAG,chevrolet corvette jake edition http://t.co/5ti5sftq87 #indvsuae #superbudget #unionbudget2015 #ausvnz #sabkabudget,
CAG,#ShutDownJNU #actionRequired @smritiirani @BhimBassi . This is height and maximum test of patience. Please wake up now,
NAG,here it is mauka mauka #indvsuae,
CAG,Talking of 2/5 That was the rating for @vivekagnihotri 's bigoted film #StandWithJNU #StandWithJU https:// twitter.com/DrunkVinodMeht a/status/731113383089442818 …,
CAG,"#ShutDownJNU , so my humble question to d likes of @OfficeOfRG , @ArvindKejriwal , @quizderek , is glorification of Afzal justified?y d silence?",
NAG,bc ... kuch to chodh do... #indvspak,
OAG,#BackToJNU JNU is not a University but a Hub of #AntiNationals Used by Opportunistic Politicians to carry their Sick Agendas #ShutDownJNU,
CAG,Time to reconsider #ShutdownJNU https:// twitter.com/IPL_HUNTER/sta tus/789715881227980800 …,
OAG,"@narendramodi Ji, Indian University,Indian students but support Terrorists ! Shame on JNU Students #ShutDownJNU",
NAG,"rt ndtv ""bshrinivaskumar match 21. #indvsuae, ind 34/1 (7.5), r sharma 15(23) v kohli 5(7) uae 102/10 (31.3) http://t.co/zoy5odzizy""",
CAG,#ShutDownJNU @narendramodi ji in a healthy democracy opposition's voice shld be respected not suppresd,
OAG,Now a days it has become a fashion to abuse free speech .... No constitution gives us the freedom to praise terrorist #ShutDownJNU,
NAG,keep calm... ghanta calm its india vs. pakistan! #cwc15 #indvspak,
NAG,bentley continental gt msrp http://t.co/uuinx0s49x #indvsuae #superbudget #unionbudget2015 #ausvnz #sabkabudget,
NAG,india vs pakistan current points ind 5-0 pak #indvspak,
NAG,star sports india vs uae mauka ad: http://t.co/sgt8rszkgf via @youtube #indvssa #indvspak #cwc15,
NAG,mumbai ranji player swapnil patil will play against india #cricketworldcup #indvsuae,
CAG,He should also be interrogated for his role in the conspiracy against JNU. #standwithJNU #weareJNU https:// twitter.com/ArvindKejriwal /status/744721999612739586 …,
NAG,@d7b9fc31d6634e2 zambani dalal modi promised lowtariff&amp;now bark at aap cagpowercost http://t.co/csebcgarku http://t.co/ptrgk2fevt #indvspak,
NAG,abhi to party shuru hui hai :) #bleedblue team india #indvspak india vs pakistan chak de india,
OAG,"@PrakashJavdekar ji I don't want my tax money be spent on Rascals, scoundrels & Traitors in #JNU , please #ShutdownJNU . Cc: @narendramodi",
NAG,shikhar dawan at half century. scorecard-110/1 #indvspak chak de indiawaale,
OAG,Our taxes are paying for terrorist breeding next #JNU stop paying taxes! or #SHUTDOWNJNU,
OAG,Not a penny of IndianTaxpayers' Money must subsidize education of these Pak-loving #JNU students #ShutDownJNU #FlashpointAfzal @HinduRajyam,
OAG,#ShutDownJNU fuck antinational bastards,
NAG,sbse jada fit maza to #indvspak me hi aata hai ;),
NAG,"@md_vinci #indvspak india chasing undertaker's wrestle mania winning streak 21-1, matlab pakistan ka mauka 15 world cup bad aaega. jai hind.",
NAG,bat was in the air!!!! bhai stump cam se kyun nahi dikhaye -_- #indvspak,
NAG,wow masha allah out yayyyyy alhamdulillah #pakvind #pakistanzindabad #indvspak,
OAG,uae: 100 toh bana k hi harenge bc. #indvsuae,
OAG,Even @ArvindKejriwal not Visited RR Hospital to see #Hanumanthappa #kejari only believed in #CastPolitice #AAPVictoryDay #ShutDownJNU,
NAG,@bcci #indvsuae http://t.co/bnmgzny1px....good news best of luuk team india.,
NAG,"hahahaaa😂😂😂. “@raheelk: ""@abhic4ever: pakistan cricket fans currently. #indvspak #wc2015 http://t.co/u0jjavsy0m"" haha”",
OAG,Wher r our gr8 khans n patriots Kejru n Rahul.? Can u put beautiful words abt JNU snakes..students ofcourse ne #ShutDownJNU,
NAG,"nxt - india v's west indies on march 6 (friday) - 12 pm ist #cricket #cwc15 #indvsuae""",
CAG,It's simply unimaginable to publicly celebrate any Hindu festival in the JNU campus. #ShutDownJNU,
CAG,#ShutdownJNU yeah that's loading every chamber in a 6 $ hooter $ ave 1 then spinning it $ hut & we call it #AmericanRoulette . #LoadedAgainstYa,
NAG,bhuvi quick cheer from ms! #indvsuae,
CAG,"missing student must have gone out to join ISIS Azaadi"" aur ""Jannat"" that's what they are looking forward for. #ShutDownJNU https:// twitter.com/firstpost/stat us/788952595259797504 …""",
OAG,"@YRDeshmukh Don't #ShutDownJNU . Identify all traitor students there, including mentors & shove them in Tihar jail for anti national acts.",
NAG,apna punjabi munda virat kohli is all ready rock #indvsuae match :-d #peptalk,
CAG,"@harsukhr When Sikh/Tamil/Gujrati want Separate country they are called Misguided, why J&K DeshDrohi #ShutDownJNU",
NAG,@joydas @jhunjhunwala @ranvirshorey that mild buranamaanoholihai type feeling #indvspak,
OAG,"Afzal was a terrorist, not a martyr. He was convicted and hanged, not killed. Will someone tell these morons this difference #ShutDownJNU",
CAG,Who needs enemies when you've ppl like these? #ShutDownJNU,
NAG,#indvsuae #news moeder james foley vergeeft is-beul - powned http://t.co/gmze4lkdmr,
NAG,is over mei sure #indiawin #indvspak #cwc15 #india #wewontgiveitback,
NAG,"no bhajji , yuvi, sehwag, gambhir, gul, ajmal, hafeez, zaheer .well it be the same #indvspak encounter @cricketaakash",
OAG,#ShutDownJNU asap. no need to waste tax payers money on these anti Nationals. @narendramodi @PMOIndia @smritiirani,
NAG,@kohlimyjaan watching baap of battel #indvspak tera kohli to puppiyàa le raha pakistaanio ko lollol,
OAG,"@mvmeet #ShutDownJNU they are dalit, surviving on quota and has problems with India.. They think they are owner of India.",
NAG,dhoni taking stroll in nana-nani park #indvspak,
CAG,"Retweeted JAY ( @YesIamSaffron ): #ShutDownJNU (Jihadi National Union) who in the Name of Cultural Activities""... http:// fb.me/77LaHnDQR""",
CAG,#ShutDownJNU inside diseases like cancer etc....r more dangerous than outside wounds...enemies inside the country r more dangerous than PAK,
OAG,The name of the university is clearly indicates it's motive. Anti Indian leader and students #ShutDownJNU,
OAG,#ShutDownJNU Jnu becomes the hot place for Naxalism and anti nationalism https:// twitter.com/TimesNow/statu s/697436416658112512 …,
NAG,"#indvsuae : #uae all out 102... #ashwin 4, jadeja n umesh 2, bhuvi-mohit 1 wickets each",
NAG,uae 102 all out - chalo lightein on karne ki zarooorat nahin padegi. team india is now energy star rated! #cwc15 #indvsuae,
CAG,Those who agitate to protect their right to dissent now suppressing ideas of others in #JNU #ShutDownJNU http://www. firstpost.com/india/jnu-hypo crisy-no-room-for-courses-on-hinduism-at-premier-university-3046590.html …,
OAG,Where are all secularist of India? Now tell is this right according to you? #ShutDownJNU,
NAG,More power to you JNU . #StandWithJNU #RejectHLEC #BJPKillsDemocracy pic.twitter.com/ATbPL4Qa4t,
NAG,kapil dev and shoaib akhtar are bowl mates. #indvsuae,
OAG,indian security experts say arvind kejriwal is a political terrorist http://t.co/wdr4ygcdvq #indwins #indvspak #happyvalentinesday #aapkacm,
NAG,indian team is best team ever . . . sabko batting milti hai 😂😂😂 #indvspak #indwins,
NAG,get back to seats. #indvsuae #cwc15 #cwcfantasy,
OAG,Who we are? Indians Why we pay tax? To spirit up anti Indian forces at JNU #ShutDownJNU,
NAG,@Shehla_Rashid may god give them strength.. #standwithJNU,
CAG,"Retweeted #Intolerant भारतीय ( @goyalsanjeev ): Well @rupasubramanya , #ShutDownJNU may not succeed but it does... http:// fb.me/2DRIkfT6B",
OAG,We all knw jnu is famous for politics n leaders...bt don't knew dat dey r playing politics against our nation #Antinationalism #ShutDownJNU,
NAG,shikhar dhawan reminds virat kohli that anushka loved a pakistani character in pk . 😄😄 #indvspak #bleedblue,
CAG,#indvsuae will indians in 'gelf' pass the tebbit test?,
NAG,"shout it loud. kohli , kohli #indvspak #cwc15",
CAG,@nilaynilxyz @durgesh1729 #ShutDownJNU trending worldwide at no.5 bhakt power,
OAG,#ShutDownJNU,
CAG,he is virat goli and not virat kohli - shoaib akhtar #facepalm 😂 #indvsuae,
NAG,The Event titled “Queers #StandWithJNU ” urges queer folks and allies to come to Freedom Square inside JNU Campus... http:// fb.me/5dETFBOwQ,
NAG,most memorable faceoffs during #indvspak wc match sachin tendulkar : shoaib akhtar venkatesh prasad: saeed anwar ajay jadeja : waqar younis,
CAG,The concubine factory #JNU supplies the retards who become naxals/CPI leaders/Presstitutes. #ShutDownJNU https:// twitter.com/KanchanGupta/s tatus/819597065365790720 …,
NAG,response video to india vs uae mauka mauka!... =&gt;&gt; http://t.co/fsqfqurbga timeline #superbudget #indvsuae #un… http://t.co/gyyomkbjne,
NAG,@amritabhinder: protest outside delhi cm arvind kejriwal’s house over jhuggi demolition http://t.co/jfflud8jkx #kejriuturns #indvspak,
NAG,"rt @owlreadsdotcom: 10 years of m.s. #dhoni, #india’s most successful #cricket captain at http://t.co/spi9oakl55 @msdhoni #indvsuae #2015 h…",
NAG,"i think, team india playing 11 against pakistan: dhawan,rohit,kohli,rahane,raina, msd,jadeja,ashwin,mohit,shami,yadav. #indvspak #worldcup",
CAG,All responsible students should be expelled to the pakistan #shutdownjnu,
NAG,"bharat mata ki jai - chanting in waca stadium, perth :) #indvsuae #cwc15 #corrected",
NAG,mohammed shami get well soon dude!rest much needed for you!good selection by management! #indvsuae #cw2015,
NAG,baap baap hota hey beta beta i# #indvspak,
NAG,tamil guy dismissing malyalam guy #indvsuae #ashwin #karate,
CAG,Y shud honest Indian tax payers money spent on these termites? Isn't it time 2think abt #ShutDownJNU ? @smritiirani pic.twitter.com/MxFzM2ZPm5,
OAG,now pakistan can hire terrorists from an institution like JNU .. what else they need. #ShutDownJNU,
CAG,They are fasting unto death! #StandwithJNU #StandforJNU #WithyouJNU http:// fb.me/7Qx6LZfP2,
NAG,"#spectrum4 #cwc15 with ashu, ahti and shah. :d #indvspak http://t.co/niztfhyspy",
NAG,top ducati monster 796 review http://t.co/pr1act3eok #indvsuae #superbudget #unionbudget2015 #ausvnz #sabkabudget,
CAG,come on. finish them off already. #cwc15 #indvsuae,
CAG,#ShutDownJNU #shameonjnu these ppl called themselves Indian students. Thy nt deserve to be called as Indian.. @SirJadejaaaa @TroluKejri https:// twitter.com/IndianExpress/ status/786185671631175680 …,
OAG,Govt. Need to take action against antisocial institute like JNU !! #ShutDownJNU @PMOIndia @narendramodi #aap #AAPtards @ArvindKejriwal,
NAG,haahahahahaha wait hahahahahaha rofl hahahahaha rt @cerebralriot: found this gem. #indvspak #wc2015 http://t.co/vyl57gan2v,
CAG,"Racist* In Delhi, both professors and students are persecuted for speaking against BJP govt. #StandWithJNU https:// twitter.com/Real_Devil_Guy /status/730609409810944001 …",
NAG,drizzling in mumbai ..n raining wickets at the #cwc15 bowlers day! #saturday #ausvnz #indvsuae,
OAG,"I and many students lyk me had utmost respect for JNU,Alas! Thanks 2 traitors lyk omar... it never gng 2 be d same #ShutDownJNU",
NAG,chutzpah at the end #indvspak,
OAG,Government must have to take serious action #ShutDownJNU,
NAG,jab sunday ko team india se pakistan takrayega tab stadium me sirf tringa laherayega #cwc15 #indvspak #worldcup http://t.co/dfhwom137b,
CAG,"#ShutDownJNU these iliterates r chnging th meaning of saheed""...land of gandhi,patel,nehru,netaji...whr r v heading""",
OAG,On one side praying for Lance Naik&uniting India and on the other side dissent and sedition to break India...How antinational #ShutDownJNU,
OAG,@IchbinUjjaini Free thinking is Supporting terrorists & abusing India? Welcome to the world Educated fool.... #ShutDownJNU,
NAG,you #wontgiveitback &amp; #wewillbringitback :') so cheers bruh #teamindia #phordengey abki baar :3 #gogreen #indvspak #wc2015,
CAG,@YesIamSaffron #ShutDownJNU for one year. Kick out the squatters. Restart as a new institution with an open architecture.,
NAG,pakistani cricketers get confused k phorna india ko hai ya mathira ko #tensports #phordo #indvspak,
OAG,I do not want my money to be used for JNU Naxalites and Jihadis #ShutDownJNU @smritiirani @narendramodi @arunjaitley,
NAG,right now. in india: dettol se dho dala. in pakistan: india ne dho dala. #indvspak,
CAG,"rt @iambatmanyeah: dhoni 2 send a ""special guest"" 2 rohit's room if he gets out cheaply again. shikhar - he did the same 2 me #indvsuae htt…",
CAG,disappointed with india! didn't get them all out for less than 100. ##espnmatchpoint #cwc15 @alexisenunes #indvsuae,
CAG,Rail Roko agitation by students in Bihar in support of JNU students on hunger-strike #StandWithJNU #FightBackJNU pic.twitter.com/ZzJ7DSAPhu,
OAG,@amitkumardash09 @LavishingLavish Oh..Pak jails anyone raisig Ind flag. Ths anti nationals thrive here b/c India tolerates #ShutDownJNU,
CAG,45 yr students ? Freeloaders of the nation. #ShutDownJNU,
CAG,@autumnrainwish #StandWithJNU #VC of #JNU is new mute spokesperson of #RSS #ABVP #BJP he lost his conscience. Sad pic.twitter.com/PoVikIE8t6,
NAG,yooo century for kohli....#indvspak @imvkohli,
OAG,"#shutdownJNU #FlashpointAfzal WHERE THE HELL ARE CONGRESS, AAP AND THE SECULAR"" PARTIES!!?? .. quiet on malda quiet on #JNU anti nationals!""",
NAG,#indvspak koi to wicket lo,
NAG,"pakistan has won the toss,what do u select misbah? misbah:kohli dhoni:chutiye gali cricket nahi hai.teams pehle se decided hai #indvspak",
NAG,waaah dhawan waaah!! keep going man!! #indvspak #iccworldcup2015 #savszim,
CAG,"uae - tum hume jeet do, hum tumhe oil denge. india - hahahaha... #indvsuae",
OAG,We should find substitute of petrol to destroy Islamic state economicaly as soon as possible #ShutDownJNU,
NAG,#indvsuae #waca http://t.co/pbxeaoeq0j oh my god í ½í¸ í ½í±í ½í±í ½í± claps professionals,
NAG,"#indvspak on icc wc 2015 app this tym anyways india 󾮗india󾮗india 󾮗india󾮗󾮗 — traveling to mumbai, maharashtra, india",
NAG,#cwc15 waiting badly for @starsportsindia next mauka mauka advertisement.. #indvsuae :),
OAG,"Extremely shocking!!! The Institute renowned for its treasure of rational intellectuals"" has shown such face. #SHUTDOWNJNU""",
NAG,today reliance will give 4×score of india mb 3g data. so i want india to bat first...#indvsuae,
NAG,medhanarmada: RT napmindia: .NarmadaBachao activist Mansaram extends support to fasting students #StandWithJNU #Fi … pic.twitter.com/bJjg4yuDCB,
CAG,Meanwhile Hafiz saeed planning Campus placement for JNU students to Lashkar n other terror companies #ShutDownJNU,
NAG,In solidarity with comrades in #JNU More power to you <3 #StandWithJNU #JNUonHungerStrike #FightBackJNU #struggle https:// twitter.com/prantadarshi/s tatus/729119175545741312 …,
NAG,#mustwatchmsg #wivire #indvspak rega jha #bleedblue #cwc15 kohli life of india.. @newsologic #newsologic http://t.co/kdh1n6p109 qqzx,
CAG,@kanhaiyajnusu Wish You Jail Soon With Love arrest Administration and Need to Draw Line We Cannot Sit on this Shit #ShutdownJnu,
NAG,@beingkareemkhan hope so #inshaallah :)))) #indwin #indvsuae #bleedblue #wewontgiveitback #viraaaaaaaat lov evrrrrr hehehehe,
CAG,"Delist political committee formed,any student supporting terrorists & terror outfits should be suspended without notice #ShutDownJNU",
CAG,@ipoonampandey you should be ready for 28th feb as u know #indvsuae ......#poonampandeykobulao #poonampandeykojaldibulaoo !!! hahahha !!,
NAG,Students in JNU have assembled near the venue for the Academic Council meeting. 10 May #StandWithJNU @standwithjnu #WeAreJNU,
OAG,#shutdownjnu All Edu Institutes should be closed until these Anti Nationalist are arrested...,
CAG,A group of students boarded metro from Hauz Khas (nearest Univ is #JNU ) cracked jokes on #DeMonetisation . strong reason to #ShutDownJNU,
CAG,#ShutDownJNU YOU ARE BEAUTIFUL SELENA Sundowns Best Of That Awkward Moment http:// bit.ly/1Q0abLr,
NAG,what a style sirji ;-) !!!! #indvsuae #cwc15 #wewontgiveitback http://t.co/jbageoj7vu,
OAG,@harsukhr AntiNational Activity are Killing Innocent & Weak in Name of BEEF while AyurVeda recommends eating BEEF #ShutDownJNU,
NAG,lo ho gya #kejriwal k cctv ka intezam. #aapsweep #delhi #bjp #modi #arvindkejriwal #indvspak #iplauction #dhoni http://t.co/dcpiofedmf,
CAG,Have no words to say about those so called students of #JNU who have anti-national sentiments ! #JNUneedsStritAction #ShutDownJNU,
NAG,The indefinite fast is still on with 13 students on their tenth day #ScrapHLECReport #FightBackJNU #StandWithJNU https:// twitter.com/CatchNews/stat us/728868268585295872 …,
OAG,People who don't trust Indian Constitution and law n order should either leave India or should be thrown out of India #ShutDownJNU,
NAG,#starsports creative team already busy digging some '#maukamauka' stats for #indvsuae &amp; #indvsire match•! 【#indvssa is almost done】 #cwc15 •,
CAG,#ShutDownJNU after that Isis tie up with jnu,
NAG,@mahekchahal @thegautamgulati countdown begin for big match #indvspak or pak ka mauka nhi ayega . http://t.co/bff9qre6rs,
OAG,#ShutDownJNU - Is this JNU built for. Home of antinationals.,
OAG,"#ShutDownJNU ,heard bout countries being plagued wid internal terrorism! Here's live example! bizzare education hasn't changed mentality!",
NAG,"Good news, finally! :) #StandWithJNU https:// twitter.com/timesofindia/s tatus/729999433480470533 …",
CAG,These people are supported by congress and i am sure that congress party will not give any statements against them. #ShutDownJNU,
CAG,rohit &amp; dhawan bas kuch aur 4/6 mar do aur match khatam kar do..!! #indvsuae,
NAG,rt @sarcaism: rohit sharma will score 200.. no matter what the total is.. #indvsuae,
NAG,"Big win for #JNU movements, #StandWithJNU , time for #AlternativeIndia",
OAG,"#ShutDownJNU #FlashpointAfzal When ABVP had opposed rohit Vemula 4 supporting afzal, gaddar Aaptards & Chor RAGA gave it a caste twist.",
NAG,fab effort indeed by rohit! #indvsuae,
CAG,uae walo ko training iin se mili hai .. #indvsuae,
CAG,@AsYouNotWish @Swamy39 Absolutely...v need such a fearless lion at d top.. #ShutDownJNU,
NAG,#indvsuae ind won by 9 wkts ind 104/1 (18.5 ovs) rohit sharma* 57 (55) virat kohli 33 (41) uae 102 (31.3 ovs) mohammad tauqir* 2.5-0-21-0,
NAG,kohli...anushka kya deepika b lele..bas 350 k paar pahuncha de #indvspak,
NAG,#indvspak savszim zimbave on fire.,
CAG,who the fu*k cares what JNU is doing? #ShutDownJNU @ArvindKejriwal,
NAG,tendulkar 89* (89) vs pak at toronto (sahara cup) 1996 - youtube http://t.co/t7rzrk87n4 #indvspak,
CAG,"boring match...))))) ba-bye, cya !! #indvsuae",
NAG,@theclumsy_doc chk kr mast hai ! #indvsuae ka aaya hai,
NAG,world cup arrives and interestingly indian cricket team performance comes back !!!! strange 😉 #indvsuae #cwc15,
CAG,"#ShutDownJNU , this act of supporting martyrdom 4 terrorist implies JNU students r ok wid wat happened in Pathankot? Appalling!",
NAG,chandu532: rt drjwalag: congratulations &amp; celebrations #teamindia ! #indvspak #indwins #jaihind #cwc15 narendramo… http://t.co/plawukjbck,
CAG,uae toh day dreaming peh he.#indvsuae,
NAG,upset pakistani fans smash tvs after indvspak match watch video now:... http://t.co/in3cci6xwi,
NAG,سبحان الله وبحمدة .. سبحان الله العظيم ya allah gab say madad farma #pakvsind #indvspak,
CAG,Every step they r taking moving to built terror outfit like ISIS in india. Ppl who dnt respect democracy they dnt deserve india #ShutDownJNU,
CAG,#ShutDownJNUWher r our gr8 khans n patriots Kejru n Rahul.? Can u put beautiful words abt JNU snakes..students ofcourse ne #ShutDownJNU,
CAG,JNU students 'confine' top brass as MSc student Najeeb Ahmed remains untraced - The Times of India http:// toi.in/TblICb81/a18cg #ShutDownJNU,
CAG,Jnu has became hub of anti national activities. .. #ShutDownJNU,
NAG,#QueersStandWithJNU joins fasting JNU students tonight! @UmarKhalidJNU @kanhaiyajnusu @Shehla_Rashid - https://www. facebook.com/events/5888051 87950465/588939094603741/ … #StandWithJNU,
NAG,"what a ball #shami #indvspak jeetega bhai jeetega, india hi jeetega! (:",
CAG,diz match az uzelezz as gonju dhewenz shemp00 #indvsuae,
CAG,All these drama is upper caste ABVP to demonstrate that only they are Indians and rest r Pakistani #ShutDownJNU,
CAG,ee match ki twitter commentary bokka. #indvsuae,
NAG,bhuvi strikes back! way to go lad 😘 #indvsuae,
CAG,if ind vs pak &amp; ind vs saf matches were bhel-puri and paani-puri then #indvsuae match is sukha-puri - gupta paanipuriwala theorem #cwc15,
CAG,Dont #ShutDownJNU . Rename it. Throw out gaddars. Arrest them. Make an example of them and make them rot for rest of their lives in jail.,
NAG,"#indvspak har gaye na hum ,,,yh sab @impkstani tumhari wja sy howa ha !",
NAG,indiaaaaaaa indiaaaaaaaa! &lt;clap.clap.clap&gt; #indvspak,
CAG,petrol price hiked in #india by 3 rupees... sala #uae ko 9 wickets se harani ki kya jarurat thi!!! #indvsuae @tushar_na,
NAG,"yes I #StandwithJNU & for JNU to survive, student shud call off thr protest becoz i don't think in #HLC rec will b revoked",
